CandidateID,Hits,MaxLevel,Issue
CAND_0000021,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000031,4,1,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000074,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000082,3,1,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000083,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000097,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000121,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000203,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000212,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000220,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000312,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000345,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000361,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000388,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000389,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000399,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000410,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000498,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000505,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000541,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000552,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000576,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000581,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000649,3,1,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000664,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000671,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000722,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000739,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000803,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000821,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000828,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000839,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000847,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000862,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000875,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000883,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000906,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000927,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000932,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0000969,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001056,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001088,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001095,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001109,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001133,3,1,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001147,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001152,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001238,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001271,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001319,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001347,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001363,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001405,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001419,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001433,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001537,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001544,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001644,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001694,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001820,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001837,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001869,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001871,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001874,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001896,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001921,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001980,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0001999,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002005,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002031,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002037,3,1,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002058,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002077,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002094,4,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002110,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002113,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002120,4,1,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002127,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002140,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002190,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002220,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002336,3,2,Keyword stuffing / Mentions only without hands-on evidence
CAND_0002356,3,2,Keyword stuffing / Mentions only without hands-on evidence
